network,avg_price,min_price,max_price,stores
CORA,3.19,3.19,3.19,1
KAUFLAND,3.29,3.29,3.29,4
CARREFOUR,3.44,3.44,3.44,2
PROFI,4.06,3.75,4.19,8
SELGROS,4.54,4.54,4.54,1

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,3.44
CORA,15.04.2026 04:00,3.19
KAUFLAND,15.04.2026 04:00,3.29
PROFI,15.04.2026 04:00,4.02
SELGROS,15.04.2026 04:00,4.54
AUCHAN,15.04.2026 20:00,3.56
CARREFOUR,15.04.2026 20:00,3.44
CORA,15.04.2026 20:00,3.19
KAUFLAND,15.04.2026 20:00,3.29
PROFI,15.04.2026 20:00,3.94
SELGROS,15.04.2026 20:00,4.54
CARREFOUR,16.04.2026 04:00,3.44
CORA,16.04.2026 04:00,3.19
KAUFLAND,16.04.2026 04:00,3.29
PROFI,16.04.2026 04:00,4.06
SELGROS,16.04.2026 04:00,4.54
