network,avg_price,min_price,max_price,stores
PROFI,6.86,2.99,8.09,11
CARREFOUR,7.49,7.49,7.65,38
KAUFLAND,7.49,7.49,7.49,70

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,7.49
KAUFLAND,13.04.2026 20:00,7.49
CARREFOUR,15.04.2026 04:00,7.53
KAUFLAND,15.04.2026 04:00,7.49
CARREFOUR,15.04.2026 20:00,7.5
KAUFLAND,15.04.2026 20:00,7.49
PROFI,15.04.2026 20:00,6.43
CARREFOUR,16.04.2026 04:00,7.49
KAUFLAND,16.04.2026 04:00,7.49
CARREFOUR,16.04.2026 20:00,7.54
KAUFLAND,16.04.2026 20:00,7.49
PROFI,16.04.2026 20:00,6.99
CARREFOUR,17.04.2026 04:00,7.49
KAUFLAND,17.04.2026 04:00,7.49
PROFI,17.04.2026 04:00,6.86
