network,avg_price,min_price,max_price,stores
SELGROS,13.13,13.13,13.13,1
CARREFOUR,13.99,13.99,13.99,2
KAUFLAND,14.49,14.49,14.49,4
CORA,15.09,15.09,15.09,1

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,13.99
CORA,15.04.2026 04:00,15.09
KAUFLAND,15.04.2026 04:00,13.29
SELGROS,15.04.2026 04:00,13.13
AUCHAN,15.04.2026 20:00,13.99
CARREFOUR,15.04.2026 20:00,14.13
CORA,15.04.2026 20:00,15.09
KAUFLAND,15.04.2026 20:00,14.49
SELGROS,15.04.2026 20:00,13.13
CARREFOUR,16.04.2026 04:00,13.99
CORA,16.04.2026 04:00,15.09
KAUFLAND,16.04.2026 04:00,14.49
SELGROS,16.04.2026 04:00,13.13
