network,avg_price,min_price,max_price,stores
KAUFLAND,3.29,3.29,3.29,93
CORA,3.85,3.85,3.85,2
PROFI,4.19,4.19,4.19,36

network,price_date,avg_price
CORA,15.04.2026 04:00,3.85
KAUFLAND,15.04.2026 04:00,3.29
CORA,15.04.2026 20:00,3.85
KAUFLAND,15.04.2026 20:00,3.29
PROFI,15.04.2026 20:00,4.19
CORA,16.04.2026 04:00,3.85
KAUFLAND,16.04.2026 04:00,3.29
CORA,16.04.2026 20:00,3.85
KAUFLAND,16.04.2026 20:00,3.29
CORA,17.04.2026 04:00,3.85
KAUFLAND,17.04.2026 04:00,3.29
PROFI,17.04.2026 04:00,4.19
