network,avg_price,min_price,max_price,stores
CORA,5.09,5.09,5.09,1
CARREFOUR,5.59,5.49,5.79,3
KAUFLAND,5.79,5.79,5.79,3
PROFI,5.99,5.99,5.99,9
SELGROS,6.59,6.59,6.59,1

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,5.65
CORA,15.04.2026 04:00,5.09
KAUFLAND,15.04.2026 04:00,5.79
PROFI,15.04.2026 04:00,5.99
SELGROS,15.04.2026 04:00,6.59
CARREFOUR,15.04.2026 20:00,5.74
CORA,15.04.2026 20:00,5.09
KAUFLAND,15.04.2026 20:00,5.79
PROFI,15.04.2026 20:00,5.95
SELGROS,15.04.2026 20:00,6.59
CARREFOUR,16.04.2026 04:00,5.59
CORA,16.04.2026 04:00,5.09
KAUFLAND,16.04.2026 04:00,5.79
PROFI,16.04.2026 04:00,5.99
SELGROS,16.04.2026 04:00,6.59
