network,avg_price,min_price,max_price,stores
AUCHAN,9.65,9.65,9.65,2
CARREFOUR,9.69,9.69,9.69,2
MEGA IMAGE SRL,9.99,9.99,9.99,1
PROFI,11.13,10.35,11.45,19
KAUFLAND,11.39,11.39,11.39,3
SELGROS,13.13,13.13,13.13,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,9.65
CARREFOUR,15.04.2026 04:00,10.29
KAUFLAND,15.04.2026 04:00,11.39
MEGA IMAGE SRL,15.04.2026 04:00,9.99
PROFI,15.04.2026 04:00,11.04
SELGROS,15.04.2026 04:00,13.13
AUCHAN,15.04.2026 20:00,9.65
CARREFOUR,15.04.2026 20:00,11.13
KAUFLAND,15.04.2026 20:00,11.39
MEGA IMAGE SRL,15.04.2026 20:00,9.99
PROFI,15.04.2026 20:00,10.96
SELGROS,15.04.2026 20:00,13.13
AUCHAN,16.04.2026 04:00,9.65
CARREFOUR,16.04.2026 04:00,9.69
KAUFLAND,16.04.2026 04:00,11.39
MEGA IMAGE SRL,16.04.2026 04:00,9.99
PROFI,16.04.2026 04:00,11.13
SELGROS,16.04.2026 04:00,13.13
