network,avg_price,min_price,max_price,stores
SELGROS,47.56,47.56,47.56,1
CORA,49.79,49.79,49.79,1
CARREFOUR,50.99,50.99,50.99,2
PROFI,55.79,55.79,55.79,5

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,51.24
CORA,15.04.2026 04:00,49.79
PROFI,15.04.2026 04:00,55.79
SELGROS,15.04.2026 04:00,47.56
CARREFOUR,15.04.2026 20:00,51.62
CORA,15.04.2026 20:00,49.79
PROFI,15.04.2026 20:00,55.3
SELGROS,15.04.2026 20:00,47.56
CARREFOUR,16.04.2026 04:00,50.99
CORA,16.04.2026 04:00,49.79
PROFI,16.04.2026 04:00,55.79
SELGROS,16.04.2026 04:00,47.56
