network,avg_price,min_price,max_price,stores
CORA,34.09,34.09,34.09,1
CARREFOUR,35.99,35.99,35.99,2
PROFI,37.37,36.69,38.19,22
SELGROS,41.05,41.05,41.05,1

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,36.16
CORA,15.04.2026 04:00,34.09
PROFI,15.04.2026 04:00,37.12
SELGROS,15.04.2026 04:00,41.05
CARREFOUR,15.04.2026 20:00,35.99
CORA,15.04.2026 20:00,34.09
PROFI,15.04.2026 20:00,37.06
SELGROS,15.04.2026 20:00,41.05
CARREFOUR,16.04.2026 04:00,35.99
CORA,16.04.2026 04:00,34.09
PROFI,16.04.2026 04:00,37.37
SELGROS,16.04.2026 04:00,41.05
