network,avg_price,min_price,max_price,stores
PROFI,6.19,3.58,11.85,5
CARREFOUR,12.39,12.39,12.39,2
AUCHAN,13.39,13.39,13.39,2
MEGA IMAGE SRL,14.89,14.89,14.89,5
CORA,15.19,15.19,15.19,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,13.39
CARREFOUR,15.04.2026 04:00,12.66
CORA,15.04.2026 04:00,15.19
MEGA IMAGE SRL,15.04.2026 04:00,14.89
PROFI,15.04.2026 04:00,6.26
AUCHAN,15.04.2026 20:00,14.72
CARREFOUR,15.04.2026 20:00,13.05
CORA,15.04.2026 20:00,15.19
MEGA IMAGE SRL,15.04.2026 20:00,14.89
PROFI,15.04.2026 20:00,7.17
AUCHAN,16.04.2026 04:00,13.39
CARREFOUR,16.04.2026 04:00,12.39
CORA,16.04.2026 04:00,15.19
MEGA IMAGE SRL,16.04.2026 04:00,14.89
PROFI,16.04.2026 04:00,6.19
