network,avg_price,min_price,max_price,stores
SELGROS,12.71,12.71,12.71,1
CORA,15.09,15.09,15.09,1
CARREFOUR,16.99,16.99,16.99,2
AUCHAN,16.99,16.99,16.99,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,16.99
CARREFOUR,15.04.2026 04:00,17.56
CORA,15.04.2026 04:00,15.09
SELGROS,15.04.2026 04:00,12.71
AUCHAN,15.04.2026 20:00,16.99
CARREFOUR,15.04.2026 20:00,17.85
CORA,15.04.2026 20:00,15.09
PROFI,15.04.2026 20:00,10.46
SELGROS,15.04.2026 20:00,12.71
AUCHAN,16.04.2026 04:00,16.99
CARREFOUR,16.04.2026 04:00,16.99
CORA,16.04.2026 04:00,15.09
SELGROS,16.04.2026 04:00,12.71
