network,avg_price,min_price,max_price,stores
CORA,3.87,3.79,3.89,5
AUCHAN,4.19,4.19,4.19,16
KAUFLAND,4.29,4.29,4.29,166
CARREFOUR,4.39,4.39,4.49,37
MEGA IMAGE SRL,4.49,4.49,4.69,84
SELGROS,5.45,5.45,5.45,17

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,4.29
SELGROS,13.04.2026 20:00,5.45
AUCHAN,15.04.2026 04:00,4.19
CARREFOUR,15.04.2026 04:00,4.42
CORA,15.04.2026 04:00,3.89
KAUFLAND,15.04.2026 04:00,4.29
MEGA IMAGE SRL,15.04.2026 04:00,4.49
SELGROS,15.04.2026 04:00,5.45
AUCHAN,15.04.2026 20:00,4.19
CARREFOUR,15.04.2026 20:00,4.4
CORA,15.04.2026 20:00,3.88
KAUFLAND,15.04.2026 20:00,4.29
MEGA IMAGE SRL,15.04.2026 20:00,4.49
SELGROS,15.04.2026 20:00,5.45
AUCHAN,16.04.2026 04:00,4.19
CARREFOUR,16.04.2026 04:00,4.39
CORA,16.04.2026 04:00,3.89
KAUFLAND,16.04.2026 04:00,4.29
MEGA IMAGE SRL,16.04.2026 04:00,4.49
SELGROS,16.04.2026 04:00,5.45
AUCHAN,16.04.2026 20:00,4.19
CARREFOUR,16.04.2026 20:00,4.42
CORA,16.04.2026 20:00,3.89
KAUFLAND,16.04.2026 20:00,4.29
MEGA IMAGE SRL,16.04.2026 20:00,4.49
SELGROS,16.04.2026 20:00,5.45
AUCHAN,17.04.2026 04:00,4.19
CARREFOUR,17.04.2026 04:00,4.39
CORA,17.04.2026 04:00,3.87
KAUFLAND,17.04.2026 04:00,4.29
MEGA IMAGE SRL,17.04.2026 04:00,4.49
SELGROS,17.04.2026 04:00,5.45
