network,avg_price,min_price,max_price,stores
SELGROS,4.05,4.05,4.05,17
AUCHAN,4.69,4.69,4.69,4
MEGA IMAGE SRL,4.99,4.99,4.99,138

network,price_date,avg_price
SELGROS,13.04.2026 20:00,4.05
AUCHAN,15.04.2026 04:00,4.69
MEGA IMAGE SRL,15.04.2026 04:00,4.99
SELGROS,15.04.2026 04:00,4.05
AUCHAN,15.04.2026 20:00,4.69
MEGA IMAGE SRL,15.04.2026 20:00,4.99
SELGROS,15.04.2026 20:00,4.05
AUCHAN,16.04.2026 04:00,4.69
MEGA IMAGE SRL,16.04.2026 04:00,4.99
SELGROS,16.04.2026 04:00,4.05
AUCHAN,16.04.2026 20:00,4.69
MEGA IMAGE SRL,16.04.2026 20:00,4.99
SELGROS,16.04.2026 20:00,4.05
AUCHAN,17.04.2026 04:00,4.69
MEGA IMAGE SRL,17.04.2026 04:00,4.99
SELGROS,17.04.2026 04:00,4.05
