network,avg_price,min_price,max_price,stores
CORA,6.89,6.89,6.89,1
CARREFOUR,6.99,6.99,6.99,2
KAUFLAND,7.49,7.49,7.49,4
SELGROS,8.04,8.04,8.04,1

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,6.99
CORA,15.04.2026 04:00,6.89
KAUFLAND,15.04.2026 04:00,7.49
SELGROS,15.04.2026 04:00,8.04
CARREFOUR,15.04.2026 20:00,6.99
CORA,15.04.2026 20:00,6.89
KAUFLAND,15.04.2026 20:00,7.49
SELGROS,15.04.2026 20:00,8.04
CARREFOUR,16.04.2026 04:00,6.99
CORA,16.04.2026 04:00,6.89
KAUFLAND,16.04.2026 04:00,7.49
SELGROS,16.04.2026 04:00,8.04
