network,avg_price,min_price,max_price,stores
CORA,8.89,8.89,8.89,5
AUCHAN,9.01,6.79,9.99,22
MEGA IMAGE SRL,9.99,9.99,9.99,46
CARREFOUR,10.09,9.79,10.99,149

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,9.29
CARREFOUR,15.04.2026 04:00,9.9
CORA,15.04.2026 04:00,8.89
MEGA IMAGE SRL,15.04.2026 04:00,9.99
AUCHAN,15.04.2026 20:00,9.06
CARREFOUR,15.04.2026 20:00,10.12
CORA,15.04.2026 20:00,8.89
MEGA IMAGE SRL,15.04.2026 20:00,9.99
AUCHAN,16.04.2026 04:00,9.29
CARREFOUR,16.04.2026 04:00,9.89
CORA,16.04.2026 04:00,8.89
AUCHAN,16.04.2026 20:00,9.35
CARREFOUR,16.04.2026 20:00,10.06
CORA,16.04.2026 20:00,8.89
MEGA IMAGE SRL,16.04.2026 20:00,9.99
AUCHAN,17.04.2026 04:00,9.01
CARREFOUR,17.04.2026 04:00,10.09
CORA,17.04.2026 04:00,8.89
MEGA IMAGE SRL,17.04.2026 04:00,9.99
