network,avg_price,min_price,max_price,stores
CARREFOUR,5.09,5.09,5.09,6
KAUFLAND,5.49,5.49,5.49,4
SELGROS,5.79,5.79,5.79,1
CORA,5.99,5.99,5.99,1
AUCHAN,6.15,6.15,6.15,2
MEGA IMAGE SRL,6.39,6.39,6.39,12
PROFI,6.39,6.39,6.39,5

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,5.49
CARREFOUR,15.04.2026 04:00,5.09
CORA,15.04.2026 04:00,5.99
MEGA IMAGE SRL,15.04.2026 04:00,6.39
PROFI,15.04.2026 04:00,6.39
SELGROS,15.04.2026 04:00,5.79
AUCHAN,15.04.2026 20:00,6.15
CARREFOUR,15.04.2026 20:00,5.19
CORA,15.04.2026 20:00,5.99
KAUFLAND,15.04.2026 20:00,5.49
MEGA IMAGE SRL,15.04.2026 20:00,6.39
PENNY,15.04.2026 20:00,3.42
PROFI,15.04.2026 20:00,6.33
SELGROS,15.04.2026 20:00,5.79
AUCHAN,16.04.2026 04:00,6.15
CARREFOUR,16.04.2026 04:00,5.09
CORA,16.04.2026 04:00,5.99
KAUFLAND,16.04.2026 04:00,5.49
MEGA IMAGE SRL,16.04.2026 04:00,6.39
PROFI,16.04.2026 04:00,6.39
SELGROS,16.04.2026 04:00,5.79
