network,avg_price,min_price,max_price,stores
CORA,3.79,3.79,3.79,1
AUCHAN,3.79,3.79,3.79,1
KAUFLAND,3.89,3.89,3.89,4
CARREFOUR,4.85,4.85,4.85,2
PROFI,4.99,4.99,4.99,1
SELGROS,5.64,5.64,5.64,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,3.79
CARREFOUR,15.04.2026 04:00,4.88
CORA,15.04.2026 04:00,3.79
KAUFLAND,15.04.2026 04:00,3.89
PROFI,15.04.2026 04:00,4.33
SELGROS,15.04.2026 04:00,5.64
AUCHAN,15.04.2026 20:00,4.89
CARREFOUR,15.04.2026 20:00,4.71
CORA,15.04.2026 20:00,3.79
KAUFLAND,15.04.2026 20:00,3.89
PROFI,15.04.2026 20:00,4.71
SELGROS,15.04.2026 20:00,5.64
AUCHAN,16.04.2026 04:00,3.79
CARREFOUR,16.04.2026 04:00,4.85
CORA,16.04.2026 04:00,3.79
KAUFLAND,16.04.2026 04:00,3.89
PROFI,16.04.2026 04:00,4.99
SELGROS,16.04.2026 04:00,5.64
