network,avg_price,min_price,max_price,stores
PROFI,1.88,1.88,1.88,1
AUCHAN,2.55,2.55,2.55,1
CORA,2.59,2.59,2.59,3
KAUFLAND,2.73,2.73,2.73,164
CARREFOUR,2.89,2.55,3.99,21

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,2.73
CARREFOUR,15.04.2026 04:00,2.55
CORA,15.04.2026 04:00,2.59
KAUFLAND,15.04.2026 04:00,2.73
CARREFOUR,15.04.2026 20:00,2.69
CORA,15.04.2026 20:00,2.59
KAUFLAND,15.04.2026 20:00,2.73
PROFI,15.04.2026 20:00,1.88
CARREFOUR,16.04.2026 04:00,2.55
CORA,16.04.2026 04:00,2.59
KAUFLAND,16.04.2026 04:00,2.73
CARREFOUR,16.04.2026 20:00,2.55
CORA,16.04.2026 20:00,2.59
KAUFLAND,16.04.2026 20:00,2.73
AUCHAN,17.04.2026 04:00,2.55
CARREFOUR,17.04.2026 04:00,2.89
CORA,17.04.2026 04:00,2.59
KAUFLAND,17.04.2026 04:00,2.73
PROFI,17.04.2026 04:00,1.88
