network,avg_price,min_price,max_price,stores
CORA,66.8,66.8,66.8,5
SUPECO,86.99,86.99,86.99,20
SELGROS,87.56,87.56,87.56,17
CARREFOUR,97.99,97.99,97.99,38
AUCHAN,98.6,82.99,108.99,28
KAUFLAND,109.0,109.0,109.0,167

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,97.99
KAUFLAND,13.04.2026 20:00,109.0
SELGROS,13.04.2026 20:00,87.56
AUCHAN,15.04.2026 04:00,108.99
CARREFOUR,15.04.2026 04:00,97.99
CORA,15.04.2026 04:00,66.8
KAUFLAND,15.04.2026 04:00,109.0
SELGROS,15.04.2026 04:00,87.56
SUPECO,15.04.2026 04:00,86.99
AUCHAN,15.04.2026 20:00,99.29
CARREFOUR,15.04.2026 20:00,97.99
CORA,15.04.2026 20:00,66.8
KAUFLAND,15.04.2026 20:00,109.0
SELGROS,15.04.2026 20:00,87.56
SUPECO,15.04.2026 20:00,86.99
AUCHAN,16.04.2026 04:00,108.99
CARREFOUR,16.04.2026 04:00,97.99
CORA,16.04.2026 04:00,66.8
KAUFLAND,16.04.2026 04:00,109.0
SELGROS,16.04.2026 04:00,87.56
SUPECO,16.04.2026 04:00,86.99
AUCHAN,16.04.2026 20:00,99.99
CARREFOUR,16.04.2026 20:00,97.99
CORA,16.04.2026 20:00,66.8
KAUFLAND,16.04.2026 20:00,109.0
SELGROS,16.04.2026 20:00,87.56
SUPECO,16.04.2026 20:00,86.99
AUCHAN,17.04.2026 04:00,98.6
CARREFOUR,17.04.2026 04:00,97.99
CORA,17.04.2026 04:00,66.8
KAUFLAND,17.04.2026 04:00,109.0
SELGROS,17.04.2026 04:00,87.56
SUPECO,17.04.2026 04:00,86.99
