network,avg_price,min_price,max_price,stores
PROFI,2.8,0.65,3.69,35
KAUFLAND,3.35,3.35,3.35,167
SELGROS,5.93,5.93,5.93,17

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,3.35
PROFI,13.04.2026 20:00,3.69
SELGROS,13.04.2026 20:00,5.93
KAUFLAND,15.04.2026 04:00,3.35
PROFI,15.04.2026 04:00,3.69
SELGROS,15.04.2026 04:00,5.93
KAUFLAND,15.04.2026 20:00,3.35
PROFI,15.04.2026 20:00,2.81
SELGROS,15.04.2026 20:00,5.93
KAUFLAND,16.04.2026 04:00,3.35
PROFI,16.04.2026 04:00,3.69
SELGROS,16.04.2026 04:00,5.93
KAUFLAND,16.04.2026 20:00,3.35
PROFI,16.04.2026 20:00,3.69
SELGROS,16.04.2026 20:00,5.93
KAUFLAND,17.04.2026 04:00,3.35
PROFI,17.04.2026 04:00,2.8
SELGROS,17.04.2026 04:00,5.93
