network,avg_price,min_price,max_price,stores
CORA,9.49,9.49,9.49,5
CARREFOUR,11.62,9.49,14.49,40
PROFI,13.31,8.99,13.49,37
MEGA IMAGE SRL,14.35,13.49,14.59,98

network,price_date,avg_price
PROFI,13.04.2026 20:00,13.49
CARREFOUR,15.04.2026 04:00,10.53
CORA,15.04.2026 04:00,9.49
MEGA IMAGE SRL,15.04.2026 04:00,14.41
PROFI,15.04.2026 04:00,13.49
CARREFOUR,15.04.2026 20:00,11.42
CORA,15.04.2026 20:00,9.49
MEGA IMAGE SRL,15.04.2026 20:00,13.95
PROFI,15.04.2026 20:00,13.25
CARREFOUR,16.04.2026 04:00,9.49
CORA,16.04.2026 04:00,9.49
MEGA IMAGE SRL,16.04.2026 04:00,13.49
PROFI,16.04.2026 04:00,13.49
CARREFOUR,16.04.2026 20:00,10.78
CORA,16.04.2026 20:00,9.49
MEGA IMAGE SRL,16.04.2026 20:00,13.57
PROFI,16.04.2026 20:00,12.97
CARREFOUR,17.04.2026 04:00,11.62
CORA,17.04.2026 04:00,9.49
MEGA IMAGE SRL,17.04.2026 04:00,14.35
PROFI,17.04.2026 04:00,13.31
