network,avg_price,min_price,max_price,stores
LIDL DISCOUNT SRL,8.59,8.59,8.59,24
KAUFLAND,8.99,8.99,8.99,43
PROFI,9.89,8.99,11.69,3

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,8.99
LIDL DISCOUNT SRL,15.04.2026 04:00,8.59
KAUFLAND,15.04.2026 20:00,8.99
LIDL DISCOUNT SRL,15.04.2026 20:00,8.59
PROFI,15.04.2026 20:00,9.89
LIDL DISCOUNT SRL,16.04.2026 04:00,8.59
LIDL DISCOUNT SRL,16.04.2026 20:00,8.59
KAUFLAND,17.04.2026 04:00,8.99
LIDL DISCOUNT SRL,17.04.2026 04:00,8.59
PROFI,17.04.2026 04:00,9.89
