network,avg_price,min_price,max_price,stores
CORA,8.29,8.29,8.29,5
AUCHAN,8.39,8.39,8.39,3
CARREFOUR,8.55,8.29,9.99,52
KAUFLAND,8.69,8.69,8.69,165
MEGA IMAGE SRL,8.89,8.89,8.89,44
PROFI,9.11,8.15,9.65,148

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,8.29
KAUFLAND,13.04.2026 20:00,8.69
PROFI,13.04.2026 20:00,8.69
AUCHAN,15.04.2026 04:00,8.39
CARREFOUR,15.04.2026 04:00,8.33
CORA,15.04.2026 04:00,8.29
KAUFLAND,15.04.2026 04:00,8.69
MEGA IMAGE SRL,15.04.2026 04:00,8.89
PROFI,15.04.2026 04:00,9.41
AUCHAN,15.04.2026 20:00,8.39
CARREFOUR,15.04.2026 20:00,8.57
CORA,15.04.2026 20:00,8.29
KAUFLAND,15.04.2026 20:00,8.69
MEGA IMAGE SRL,15.04.2026 20:00,8.89
PROFI,15.04.2026 20:00,9.15
AUCHAN,16.04.2026 04:00,8.39
CARREFOUR,16.04.2026 04:00,8.29
CORA,16.04.2026 04:00,8.29
KAUFLAND,16.04.2026 04:00,8.69
MEGA IMAGE SRL,16.04.2026 04:00,8.89
PROFI,16.04.2026 04:00,9.32
AUCHAN,16.04.2026 20:00,8.39
CARREFOUR,16.04.2026 20:00,8.42
CORA,16.04.2026 20:00,8.29
KAUFLAND,16.04.2026 20:00,8.69
MEGA IMAGE SRL,16.04.2026 20:00,8.89
PROFI,16.04.2026 20:00,9.32
AUCHAN,17.04.2026 04:00,8.39
CARREFOUR,17.04.2026 04:00,8.55
CORA,17.04.2026 04:00,8.29
KAUFLAND,17.04.2026 04:00,8.69
MEGA IMAGE SRL,17.04.2026 04:00,8.89
PROFI,17.04.2026 04:00,9.11
