network,avg_price,min_price,max_price,stores
CORA,8.39,8.39,8.39,5
PROFI,8.71,5.22,9.99,79
MEGA IMAGE SRL,9.0,8.99,9.79,106
CARREFOUR,9.59,8.99,11.49,136
SELGROS,11.19,11.19,11.19,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,8.99
PROFI,13.04.2026 20:00,9.69
SELGROS,13.04.2026 20:00,11.19
CARREFOUR,15.04.2026 04:00,9.36
CORA,15.04.2026 04:00,8.39
MEGA IMAGE SRL,15.04.2026 04:00,8.99
PROFI,15.04.2026 04:00,6.49
SELGROS,15.04.2026 04:00,11.19
CARREFOUR,15.04.2026 20:00,9.55
CORA,15.04.2026 20:00,8.39
MEGA IMAGE SRL,15.04.2026 20:00,9.0
PROFI,15.04.2026 20:00,8.64
SELGROS,15.04.2026 20:00,11.19
CARREFOUR,16.04.2026 04:00,9.39
CORA,16.04.2026 04:00,8.39
MEGA IMAGE SRL,16.04.2026 04:00,8.99
PROFI,16.04.2026 04:00,6.49
SELGROS,16.04.2026 04:00,11.19
CARREFOUR,16.04.2026 20:00,9.5
CORA,16.04.2026 20:00,8.39
MEGA IMAGE SRL,16.04.2026 20:00,8.99
PROFI,16.04.2026 20:00,9.03
SELGROS,16.04.2026 20:00,11.19
CARREFOUR,17.04.2026 04:00,9.59
CORA,17.04.2026 04:00,8.39
MEGA IMAGE SRL,17.04.2026 04:00,9.0
PROFI,17.04.2026 04:00,8.71
SELGROS,17.04.2026 04:00,11.19
