network,avg_price,min_price,max_price,stores
AUCHAN,28.28,26.99,35.99,17
CORA,28.5,28.5,28.5,5
CARREFOUR,32.4,31.19,33.09,262
MEGA IMAGE SRL,34.02,32.29,36.69,236
KAUFLAND,35.49,35.49,35.49,165
SELGROS,36.19,36.19,36.19,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,32.99
KAUFLAND,13.04.2026 20:00,35.49
SELGROS,13.04.2026 20:00,36.19
CARREFOUR,15.04.2026 04:00,32.56
CORA,15.04.2026 04:00,28.5
KAUFLAND,15.04.2026 04:00,35.49
MEGA IMAGE SRL,15.04.2026 04:00,33.57
SELGROS,15.04.2026 04:00,36.19
AUCHAN,15.04.2026 20:00,28.21
CARREFOUR,15.04.2026 20:00,32.47
CORA,15.04.2026 20:00,28.5
KAUFLAND,15.04.2026 20:00,35.49
MEGA IMAGE SRL,15.04.2026 20:00,33.37
SELGROS,15.04.2026 20:00,36.19
CARREFOUR,16.04.2026 04:00,32.48
CORA,16.04.2026 04:00,28.5
KAUFLAND,16.04.2026 04:00,35.49
MEGA IMAGE SRL,16.04.2026 04:00,32.29
SELGROS,16.04.2026 04:00,36.19
AUCHAN,16.04.2026 20:00,26.99
CARREFOUR,16.04.2026 20:00,32.21
CORA,16.04.2026 20:00,28.5
KAUFLAND,16.04.2026 20:00,35.49
MEGA IMAGE SRL,16.04.2026 20:00,33.09
SELGROS,16.04.2026 20:00,36.19
AUCHAN,17.04.2026 04:00,28.28
CARREFOUR,17.04.2026 04:00,32.4
CORA,17.04.2026 04:00,28.5
KAUFLAND,17.04.2026 04:00,35.49
MEGA IMAGE SRL,17.04.2026 04:00,34.02
SELGROS,17.04.2026 04:00,36.19
