network,avg_price,min_price,max_price,stores
CORA,9.81,9.49,9.89,5
CARREFOUR,10.68,10.49,10.69,24
AUCHAN,11.2,10.99,11.49,28
MEGA IMAGE SRL,11.69,11.69,11.69,17

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,10.99
CARREFOUR,15.04.2026 04:00,10.69
CORA,15.04.2026 04:00,9.89
MEGA IMAGE SRL,15.04.2026 04:00,11.69
AUCHAN,15.04.2026 20:00,11.19
CARREFOUR,15.04.2026 20:00,10.68
CORA,15.04.2026 20:00,9.83
MEGA IMAGE SRL,15.04.2026 20:00,11.69
AUCHAN,16.04.2026 04:00,10.99
CARREFOUR,16.04.2026 04:00,10.69
CORA,16.04.2026 04:00,9.89
MEGA IMAGE SRL,16.04.2026 04:00,11.69
AUCHAN,16.04.2026 20:00,11.29
CARREFOUR,16.04.2026 20:00,10.69
CORA,16.04.2026 20:00,9.89
MEGA IMAGE SRL,16.04.2026 20:00,11.69
AUCHAN,17.04.2026 04:00,11.2
CARREFOUR,17.04.2026 04:00,10.68
CORA,17.04.2026 04:00,9.81
MEGA IMAGE SRL,17.04.2026 04:00,11.69
