network,avg_price,min_price,max_price,stores
CORA,7.73,7.49,7.79,5
AUCHAN,7.81,7.09,9.39,33
CARREFOUR,7.92,6.65,8.69,42
SELGROS,9.87,9.87,9.87,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,7.89
SELGROS,13.04.2026 20:00,9.87
AUCHAN,15.04.2026 04:00,7.89
CARREFOUR,15.04.2026 04:00,7.93
CORA,15.04.2026 04:00,7.79
SELGROS,15.04.2026 04:00,9.87
AUCHAN,15.04.2026 20:00,7.82
CARREFOUR,15.04.2026 20:00,7.96
CORA,15.04.2026 20:00,7.75
SELGROS,15.04.2026 20:00,9.87
AUCHAN,16.04.2026 04:00,7.89
CARREFOUR,16.04.2026 04:00,7.89
CORA,16.04.2026 04:00,7.79
SELGROS,16.04.2026 04:00,9.87
AUCHAN,16.04.2026 20:00,7.89
CARREFOUR,16.04.2026 20:00,8.08
CORA,16.04.2026 20:00,7.79
SELGROS,16.04.2026 20:00,9.87
AUCHAN,17.04.2026 04:00,7.81
CARREFOUR,17.04.2026 04:00,7.92
CORA,17.04.2026 04:00,7.73
SELGROS,17.04.2026 04:00,9.87
