network,avg_price,min_price,max_price,stores
PROFI,5.37,0.9,5.99,141
CARREFOUR,5.39,5.39,5.39,38
CORA,5.49,5.49,5.49,5

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,5.39
PROFI,13.04.2026 20:00,5.45
CARREFOUR,15.04.2026 04:00,5.39
CORA,15.04.2026 04:00,5.49
PROFI,15.04.2026 04:00,3.89
CARREFOUR,15.04.2026 20:00,5.39
CORA,15.04.2026 20:00,5.49
PROFI,15.04.2026 20:00,5.09
CARREFOUR,16.04.2026 04:00,5.39
CORA,16.04.2026 04:00,5.49
CARREFOUR,16.04.2026 20:00,5.39
CORA,16.04.2026 20:00,5.49
PROFI,16.04.2026 20:00,4.74
CARREFOUR,17.04.2026 04:00,5.39
CORA,17.04.2026 04:00,5.49
PROFI,17.04.2026 04:00,5.37
