network,avg_price,min_price,max_price,stores
PROFI,5.98,4.99,6.09,53
AUCHAN,6.42,2.99,6.99,7
MEGA IMAGE SRL,165.59,165.59,165.59,1

network,price_date,avg_price
PROFI,13.04.2026 20:00,5.99
AUCHAN,15.04.2026 04:00,6.99
AUCHAN,15.04.2026 20:00,6.99
MEGA IMAGE SRL,15.04.2026 20:00,165.59
PROFI,15.04.2026 20:00,6.02
AUCHAN,16.04.2026 04:00,6.99
AUCHAN,16.04.2026 20:00,6.99
MEGA IMAGE SRL,16.04.2026 20:00,165.59
PROFI,16.04.2026 20:00,6.09
AUCHAN,17.04.2026 04:00,6.42
MEGA IMAGE SRL,17.04.2026 04:00,165.59
PROFI,17.04.2026 04:00,5.98
