network,avg_price,min_price,max_price,stores
SELGROS,10.65,10.65,10.65,1
CORA,10.69,10.69,10.69,1
CARREFOUR,11.79,11.79,11.79,2
MEGA IMAGE SRL,12.39,12.39,12.39,12

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,11.79
CORA,15.04.2026 04:00,10.69
MEGA IMAGE SRL,15.04.2026 04:00,12.39
SELGROS,15.04.2026 04:00,10.65
CARREFOUR,15.04.2026 20:00,12.15
CORA,15.04.2026 20:00,10.69
MEGA IMAGE SRL,15.04.2026 20:00,12.39
SELGROS,15.04.2026 20:00,10.65
CARREFOUR,16.04.2026 04:00,11.79
CORA,16.04.2026 04:00,10.69
MEGA IMAGE SRL,16.04.2026 04:00,12.39
SELGROS,16.04.2026 04:00,10.65
