network,avg_price,min_price,max_price,stores
CARREFOUR,4.99,4.99,4.99,38
AUCHAN,6.49,6.49,6.49,8
SELGROS,7.28,7.28,7.28,17
PROFI,10.19,9.49,10.49,451

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,4.99
PROFI,13.04.2026 20:00,9.99
SELGROS,13.04.2026 20:00,7.28
AUCHAN,15.04.2026 04:00,6.49
CARREFOUR,15.04.2026 04:00,4.99
PROFI,15.04.2026 04:00,10.21
SELGROS,15.04.2026 04:00,7.28
AUCHAN,15.04.2026 20:00,6.49
CARREFOUR,15.04.2026 20:00,4.99
PROFI,15.04.2026 20:00,10.21
SELGROS,15.04.2026 20:00,7.28
AUCHAN,16.04.2026 04:00,6.49
CARREFOUR,16.04.2026 04:00,4.99
PROFI,16.04.2026 04:00,10.22
SELGROS,16.04.2026 04:00,7.28
AUCHAN,16.04.2026 20:00,6.49
CARREFOUR,16.04.2026 20:00,4.99
PROFI,16.04.2026 20:00,10.2
SELGROS,16.04.2026 20:00,7.28
AUCHAN,17.04.2026 04:00,6.49
CARREFOUR,17.04.2026 04:00,4.99
PROFI,17.04.2026 04:00,10.19
SELGROS,17.04.2026 04:00,7.28
