network,avg_price,min_price,max_price,stores
CARREFOUR,27.49,27.49,27.49,2
SELGROS,35.99,35.99,35.99,1
CORA,39.99,39.99,39.99,1
MEGA IMAGE SRL,41.39,41.39,41.39,32
KAUFLAND,45.99,45.99,45.99,4
AUCHAN,46.86,46.86,46.86,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,27.99
CARREFOUR,15.04.2026 04:00,33.66
CORA,15.04.2026 04:00,39.99
KAUFLAND,15.04.2026 04:00,45.99
MEGA IMAGE SRL,15.04.2026 04:00,41.39
SELGROS,15.04.2026 04:00,35.99
AUCHAN,15.04.2026 20:00,46.86
CARREFOUR,15.04.2026 20:00,27.49
CORA,15.04.2026 20:00,39.99
KAUFLAND,15.04.2026 20:00,45.99
MEGA IMAGE SRL,15.04.2026 20:00,41.39
PROFI,15.04.2026 20:00,19.99
SELGROS,15.04.2026 20:00,35.99
AUCHAN,16.04.2026 04:00,46.86
CARREFOUR,16.04.2026 04:00,27.49
CORA,16.04.2026 04:00,39.99
KAUFLAND,16.04.2026 04:00,45.99
MEGA IMAGE SRL,16.04.2026 04:00,41.39
SELGROS,16.04.2026 04:00,35.99
