network,avg_price,min_price,max_price,stores
PROFI,5.92,4.55,5.99,559
CORA,6.33,6.09,6.39,5
CARREFOUR,6.59,6.59,6.69,38

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,6.59
PROFI,13.04.2026 20:00,5.72
CARREFOUR,15.04.2026 04:00,6.62
CORA,15.04.2026 04:00,6.39
PROFI,15.04.2026 04:00,5.84
CARREFOUR,15.04.2026 20:00,6.6
CORA,15.04.2026 20:00,6.35
PROFI,15.04.2026 20:00,5.93
CARREFOUR,16.04.2026 04:00,6.59
CORA,16.04.2026 04:00,6.39
PROFI,16.04.2026 04:00,5.94
CARREFOUR,16.04.2026 20:00,6.63
CORA,16.04.2026 20:00,6.39
PROFI,16.04.2026 20:00,5.86
CARREFOUR,17.04.2026 04:00,6.59
CORA,17.04.2026 04:00,6.33
PROFI,17.04.2026 04:00,5.92
