network,avg_price,min_price,max_price,stores
CARREFOUR,12.79,12.79,12.79,2
AUCHAN,12.79,12.79,12.79,2
CORA,13.19,13.19,13.19,1
MEGA IMAGE SRL,14.16,13.49,15.61,19

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,12.79
CARREFOUR,15.04.2026 04:00,12.79
CORA,15.04.2026 04:00,13.19
MEGA IMAGE SRL,15.04.2026 04:00,14.35
AUCHAN,15.04.2026 20:00,12.79
CARREFOUR,15.04.2026 20:00,13.1
CORA,15.04.2026 20:00,13.19
MEGA IMAGE SRL,15.04.2026 20:00,14.06
AUCHAN,16.04.2026 04:00,12.79
CARREFOUR,16.04.2026 04:00,12.79
CORA,16.04.2026 04:00,13.19
MEGA IMAGE SRL,16.04.2026 04:00,14.16
