network,avg_price,min_price,max_price,stores
CORA,4.79,4.79,4.79,5
CARREFOUR,4.99,4.99,4.99,46
MEGA IMAGE SRL,5.0,4.99,5.39,74
PROFI,5.04,4.99,7.15,554
SUPECO,6.49,6.49,6.49,19
AUCHAN,6.52,6.49,7.16,21

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,4.99
PROFI,13.04.2026 20:00,4.99
AUCHAN,15.04.2026 04:00,6.49
CARREFOUR,15.04.2026 04:00,4.99
CORA,15.04.2026 04:00,4.79
MEGA IMAGE SRL,15.04.2026 04:00,4.99
PROFI,15.04.2026 04:00,4.99
AUCHAN,15.04.2026 20:00,6.52
CARREFOUR,15.04.2026 20:00,4.99
CORA,15.04.2026 20:00,4.79
MEGA IMAGE SRL,15.04.2026 20:00,4.99
PROFI,15.04.2026 20:00,5.05
SUPECO,15.04.2026 20:00,6.49
AUCHAN,16.04.2026 04:00,6.49
CARREFOUR,16.04.2026 04:00,4.99
CORA,16.04.2026 04:00,4.79
MEGA IMAGE SRL,16.04.2026 04:00,4.99
PROFI,16.04.2026 04:00,5.23
AUCHAN,16.04.2026 20:00,6.49
CARREFOUR,16.04.2026 20:00,4.99
CORA,16.04.2026 20:00,4.79
MEGA IMAGE SRL,16.04.2026 20:00,4.99
PROFI,16.04.2026 20:00,5.22
AUCHAN,17.04.2026 04:00,6.52
CARREFOUR,17.04.2026 04:00,4.99
CORA,17.04.2026 04:00,4.79
MEGA IMAGE SRL,17.04.2026 04:00,5.0
PROFI,17.04.2026 04:00,5.04
SUPECO,17.04.2026 04:00,6.49
