network,avg_price,min_price,max_price,stores
PENNY,7.99,7.99,7.99,11
MEGA IMAGE SRL,8.46,8.19,9.56,336
PROFI,8.89,8.89,8.89,105

network,price_date,avg_price
PROFI,13.04.2026 20:00,8.89
MEGA IMAGE SRL,15.04.2026 04:00,8.37
PROFI,15.04.2026 04:00,8.89
MEGA IMAGE SRL,15.04.2026 20:00,8.38
PENNY,15.04.2026 20:00,7.99
PROFI,15.04.2026 20:00,8.89
MEGA IMAGE SRL,16.04.2026 04:00,8.31
PROFI,16.04.2026 04:00,8.89
MEGA IMAGE SRL,16.04.2026 20:00,8.3
PROFI,16.04.2026 20:00,8.89
MEGA IMAGE SRL,17.04.2026 04:00,8.46
PENNY,17.04.2026 04:00,7.99
PROFI,17.04.2026 04:00,8.89
