network,avg_price,min_price,max_price,stores
PROFI,2.86,2.44,3.69,41
CORA,3.49,3.49,3.49,3
AUCHAN,4.54,3.59,4.69,22

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,4.69
CORA,15.04.2026 04:00,3.49
PROFI,15.04.2026 04:00,2.96
AUCHAN,15.04.2026 20:00,4.55
CORA,15.04.2026 20:00,3.49
PROFI,15.04.2026 20:00,2.83
AUCHAN,16.04.2026 04:00,4.69
CORA,16.04.2026 04:00,3.49
PROFI,16.04.2026 04:00,2.44
AUCHAN,16.04.2026 20:00,4.69
CORA,16.04.2026 20:00,3.49
PROFI,16.04.2026 20:00,3.14
AUCHAN,17.04.2026 04:00,4.54
CORA,17.04.2026 04:00,3.49
PROFI,17.04.2026 04:00,2.86
