network,avg_price,min_price,max_price,stores
SELGROS,13.13,13.13,13.13,1
CORA,13.59,13.59,13.59,1
CARREFOUR,13.65,13.65,13.65,2
KAUFLAND,13.83,13.83,13.83,3
PROFI,14.75,14.75,14.75,2

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,13.65
CORA,15.04.2026 04:00,13.59
KAUFLAND,15.04.2026 04:00,13.83
PROFI,15.04.2026 04:00,14.75
SELGROS,15.04.2026 04:00,13.13
CARREFOUR,15.04.2026 20:00,13.65
CORA,15.04.2026 20:00,13.59
KAUFLAND,15.04.2026 20:00,13.83
PROFI,15.04.2026 20:00,14.75
SELGROS,15.04.2026 20:00,13.13
CARREFOUR,16.04.2026 04:00,13.65
CORA,16.04.2026 04:00,13.59
KAUFLAND,16.04.2026 04:00,13.83
PROFI,16.04.2026 04:00,14.75
SELGROS,16.04.2026 04:00,13.13
