network,avg_price,min_price,max_price,stores
KAUFLAND,4.05,4.05,4.05,4
PROFI,4.09,4.09,4.09,3
SELGROS,4.27,4.27,4.27,1
CORA,4.29,4.29,4.29,1

network,price_date,avg_price
CORA,15.04.2026 04:00,4.29
KAUFLAND,15.04.2026 04:00,4.05
PROFI,15.04.2026 04:00,4.09
SELGROS,15.04.2026 04:00,4.27
AUCHAN,15.04.2026 20:00,3.69
CORA,15.04.2026 20:00,4.29
KAUFLAND,15.04.2026 20:00,4.05
PROFI,15.04.2026 20:00,4.08
SELGROS,15.04.2026 20:00,4.27
CORA,16.04.2026 04:00,4.29
KAUFLAND,16.04.2026 04:00,4.05
PROFI,16.04.2026 04:00,4.09
SELGROS,16.04.2026 04:00,4.27
