network,avg_price,min_price,max_price,stores
SELGROS,4.25,4.25,4.25,1
AUCHAN,4.99,4.99,4.99,2
CORA,6.49,6.49,6.49,1
CARREFOUR,7.19,7.19,7.19,2
MEGA IMAGE SRL,7.29,7.29,7.29,23

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,4.99
CARREFOUR,15.04.2026 04:00,7.58
CORA,15.04.2026 04:00,6.49
MEGA IMAGE SRL,15.04.2026 04:00,7.45
SELGROS,15.04.2026 04:00,4.25
AUCHAN,15.04.2026 20:00,4.99
CARREFOUR,15.04.2026 20:00,7.57
CORA,15.04.2026 20:00,6.49
MEGA IMAGE SRL,15.04.2026 20:00,7.34
SELGROS,15.04.2026 20:00,4.25
AUCHAN,16.04.2026 04:00,4.99
CARREFOUR,16.04.2026 04:00,7.19
CORA,16.04.2026 04:00,6.49
MEGA IMAGE SRL,16.04.2026 04:00,7.29
SELGROS,16.04.2026 04:00,4.25
