network,avg_price,min_price,max_price,stores
CORA,4.59,4.59,4.59,1
PROFI,4.64,4.59,5.29,13
CARREFOUR,4.92,4.79,5.09,4
SELGROS,4.95,4.95,4.95,1
MEGA IMAGE SRL,4.99,4.99,4.99,6
KAUFLAND,4.99,4.99,4.99,4

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,4.97
CORA,15.04.2026 04:00,4.59
KAUFLAND,15.04.2026 04:00,4.99
MEGA IMAGE SRL,15.04.2026 04:00,4.99
PROFI,15.04.2026 04:00,4.69
SELGROS,15.04.2026 04:00,4.95
AUCHAN,15.04.2026 20:00,5.25
CARREFOUR,15.04.2026 20:00,5.04
CORA,15.04.2026 20:00,4.59
KAUFLAND,15.04.2026 20:00,4.99
MEGA IMAGE SRL,15.04.2026 20:00,4.99
PROFI,15.04.2026 20:00,4.6
SELGROS,15.04.2026 20:00,4.95
CARREFOUR,16.04.2026 04:00,4.92
CORA,16.04.2026 04:00,4.59
KAUFLAND,16.04.2026 04:00,4.99
MEGA IMAGE SRL,16.04.2026 04:00,4.99
PROFI,16.04.2026 04:00,4.64
SELGROS,16.04.2026 04:00,4.95
