network,avg_price,min_price,max_price,stores
PENNY,9.79,9.79,9.79,1
PROFI,15.03,6.4,15.99,10
LIDL DISCOUNT SRL,15.85,15.85,15.85,6
AUCHAN,17.16,15.89,17.39,13
KAUFLAND,18.99,18.99,18.99,125

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,15.85
KAUFLAND,15.04.2026 04:00,15.85
PROFI,15.04.2026 04:00,3.99
AUCHAN,15.04.2026 20:00,17.27
KAUFLAND,15.04.2026 20:00,18.99
LIDL DISCOUNT SRL,15.04.2026 20:00,15.85
PROFI,15.04.2026 20:00,13.29
KAUFLAND,16.04.2026 04:00,18.99
PROFI,16.04.2026 04:00,3.99
KAUFLAND,16.04.2026 20:00,18.99
PROFI,16.04.2026 20:00,3.99
AUCHAN,17.04.2026 04:00,17.16
KAUFLAND,17.04.2026 04:00,18.99
LIDL DISCOUNT SRL,17.04.2026 04:00,15.85
PENNY,17.04.2026 04:00,9.79
PROFI,17.04.2026 04:00,15.03
