network,avg_price,min_price,max_price,stores
CORA,11.29,11.29,11.29,5
LIDL DISCOUNT SRL,11.49,11.49,11.49,8
AUCHAN,11.49,11.49,11.49,1
KAUFLAND,11.69,11.69,11.69,144
MEGA IMAGE SRL,12.14,11.79,14.04,298
SELGROS,12.33,12.33,12.33,13
PROFI,12.89,12.89,12.89,348

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,11.69
PROFI,13.04.2026 20:00,12.89
SELGROS,13.04.2026 20:00,12.33
CORA,15.04.2026 04:00,11.29
KAUFLAND,15.04.2026 04:00,11.69
MEGA IMAGE SRL,15.04.2026 04:00,11.99
PROFI,15.04.2026 04:00,12.89
AUCHAN,15.04.2026 20:00,11.49
CORA,15.04.2026 20:00,11.29
KAUFLAND,15.04.2026 20:00,11.69
LIDL DISCOUNT SRL,15.04.2026 20:00,11.49
MEGA IMAGE SRL,15.04.2026 20:00,12.03
PROFI,15.04.2026 20:00,12.89
SELGROS,15.04.2026 20:00,12.33
CORA,16.04.2026 04:00,11.29
MEGA IMAGE SRL,16.04.2026 04:00,11.79
PROFI,16.04.2026 04:00,12.89
CORA,16.04.2026 20:00,11.29
MEGA IMAGE SRL,16.04.2026 20:00,11.96
PROFI,16.04.2026 20:00,12.89
SELGROS,16.04.2026 20:00,12.33
AUCHAN,17.04.2026 04:00,11.49
CORA,17.04.2026 04:00,11.29
KAUFLAND,17.04.2026 04:00,11.69
LIDL DISCOUNT SRL,17.04.2026 04:00,11.49
MEGA IMAGE SRL,17.04.2026 04:00,12.14
PROFI,17.04.2026 04:00,12.89
SELGROS,17.04.2026 04:00,12.33
