network,avg_price,min_price,max_price,stores
CORA,2.99,2.99,2.99,5
CARREFOUR,3.05,3.05,3.05,33
PROFI,3.05,3.05,3.05,623

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,3.05
PROFI,13.04.2026 20:00,3.05
CARREFOUR,15.04.2026 04:00,3.05
CORA,15.04.2026 04:00,2.99
PROFI,15.04.2026 04:00,3.05
CARREFOUR,15.04.2026 20:00,3.05
CORA,15.04.2026 20:00,2.99
PROFI,15.04.2026 20:00,3.05
CARREFOUR,16.04.2026 04:00,3.05
CORA,16.04.2026 04:00,2.99
PROFI,16.04.2026 04:00,3.05
CARREFOUR,16.04.2026 20:00,3.05
CORA,16.04.2026 20:00,2.99
PROFI,16.04.2026 20:00,3.05
CARREFOUR,17.04.2026 04:00,3.05
CORA,17.04.2026 04:00,2.99
PROFI,17.04.2026 04:00,3.05
