network,avg_price,min_price,max_price,stores
SELGROS,3.23,3.23,3.23,12
AUCHAN,3.35,3.35,3.35,1
PROFI,3.55,3.55,3.55,156
MEGA IMAGE SRL,3.9,3.89,4.19,195

network,price_date,avg_price
PROFI,13.04.2026 20:00,3.55
SELGROS,13.04.2026 20:00,3.23
MEGA IMAGE SRL,15.04.2026 04:00,3.89
PROFI,15.04.2026 04:00,3.55
SELGROS,15.04.2026 04:00,3.23
AUCHAN,15.04.2026 20:00,3.35
MEGA IMAGE SRL,15.04.2026 20:00,3.9
PROFI,15.04.2026 20:00,3.55
SELGROS,15.04.2026 20:00,3.23
MEGA IMAGE SRL,16.04.2026 04:00,3.89
PROFI,16.04.2026 04:00,3.55
SELGROS,16.04.2026 04:00,3.23
MEGA IMAGE SRL,16.04.2026 20:00,3.89
PROFI,16.04.2026 20:00,3.55
SELGROS,16.04.2026 20:00,3.23
AUCHAN,17.04.2026 04:00,3.35
MEGA IMAGE SRL,17.04.2026 04:00,3.9
PROFI,17.04.2026 04:00,3.55
SELGROS,17.04.2026 04:00,3.23
