network,avg_price,min_price,max_price,stores
AUCHAN,8.59,7.09,8.89,6
SUPECO,9.29,9.29,9.29,19
CARREFOUR,9.39,9.39,9.39,37
MEGA IMAGE SRL,9.59,9.59,9.59,324
KAUFLAND,9.79,9.79,9.79,169
PROFI,9.99,9.99,9.99,111

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,9.39
KAUFLAND,13.04.2026 20:00,9.79
PROFI,13.04.2026 20:00,9.99
CARREFOUR,15.04.2026 04:00,9.39
KAUFLAND,15.04.2026 04:00,9.79
MEGA IMAGE SRL,15.04.2026 04:00,9.59
PROFI,15.04.2026 04:00,9.99
SUPECO,15.04.2026 04:00,9.29
AUCHAN,15.04.2026 20:00,8.59
CARREFOUR,15.04.2026 20:00,9.39
KAUFLAND,15.04.2026 20:00,9.79
MEGA IMAGE SRL,15.04.2026 20:00,9.59
PROFI,15.04.2026 20:00,9.99
SUPECO,15.04.2026 20:00,9.29
CARREFOUR,16.04.2026 04:00,9.39
KAUFLAND,16.04.2026 04:00,9.79
MEGA IMAGE SRL,16.04.2026 04:00,9.59
PROFI,16.04.2026 04:00,9.99
CARREFOUR,16.04.2026 20:00,9.39
KAUFLAND,16.04.2026 20:00,9.79
MEGA IMAGE SRL,16.04.2026 20:00,9.59
PROFI,16.04.2026 20:00,9.99
AUCHAN,17.04.2026 04:00,8.59
CARREFOUR,17.04.2026 04:00,9.39
KAUFLAND,17.04.2026 04:00,9.79
MEGA IMAGE SRL,17.04.2026 04:00,9.59
PROFI,17.04.2026 04:00,9.99
SUPECO,17.04.2026 04:00,9.29
