network,avg_price,min_price,max_price,stores
PROFI,12.99,12.99,12.99,5
SELGROS,13.29,13.29,13.29,1
MEGA IMAGE SRL,13.99,13.99,13.99,25
AUCHAN,14.49,14.49,14.49,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,14.49
MEGA IMAGE SRL,15.04.2026 04:00,13.99
PROFI,15.04.2026 04:00,12.99
SELGROS,15.04.2026 04:00,13.29
AUCHAN,15.04.2026 20:00,13.24
MEGA IMAGE SRL,15.04.2026 20:00,13.99
PROFI,15.04.2026 20:00,12.99
SELGROS,15.04.2026 20:00,13.29
AUCHAN,16.04.2026 04:00,14.49
MEGA IMAGE SRL,16.04.2026 04:00,13.99
PROFI,16.04.2026 04:00,12.99
SELGROS,16.04.2026 04:00,13.29
