network,avg_price,min_price,max_price,stores
KAUFLAND,6.55,6.55,6.55,169
PENNY,6.99,6.99,6.99,260
PROFI,6.99,6.99,6.99,846
CARREFOUR,9.49,9.49,9.49,243
AUCHAN,9.49,9.49,9.49,3
SUPECO,9.49,9.49,9.49,22
SELGROS,9.98,9.98,9.98,14

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,9.49
PENNY,13.04.2026 20:00,6.99
PROFI,13.04.2026 20:00,8.71
SELGROS,13.04.2026 20:00,9.98
CARREFOUR,15.04.2026 04:00,9.49
PENNY,15.04.2026 04:00,6.99
PROFI,15.04.2026 04:00,8.98
AUCHAN,15.04.2026 20:00,9.49
CARREFOUR,15.04.2026 20:00,9.49
KAUFLAND,15.04.2026 20:00,6.55
PENNY,15.04.2026 20:00,6.99
PROFI,15.04.2026 20:00,6.99
SELGROS,15.04.2026 20:00,9.98
SUPECO,15.04.2026 20:00,9.49
CARREFOUR,16.04.2026 04:00,9.49
KAUFLAND,16.04.2026 04:00,6.55
PROFI,16.04.2026 04:00,6.99
CARREFOUR,16.04.2026 20:00,9.49
KAUFLAND,16.04.2026 20:00,6.55
PENNY,16.04.2026 20:00,6.99
PROFI,16.04.2026 20:00,6.99
SELGROS,16.04.2026 20:00,9.98
AUCHAN,17.04.2026 04:00,9.49
CARREFOUR,17.04.2026 04:00,9.49
KAUFLAND,17.04.2026 04:00,6.55
PENNY,17.04.2026 04:00,6.99
PROFI,17.04.2026 04:00,6.99
SELGROS,17.04.2026 04:00,9.98
SUPECO,17.04.2026 04:00,9.49
