network,avg_price,min_price,max_price,stores
SELGROS,5.09,5.09,5.09,2
CARREFOUR,5.59,5.59,5.59,37
MEGA IMAGE SRL,5.79,5.79,5.79,38
PROFI,7.39,7.39,7.39,132
SUPECO,7.39,7.39,7.39,4

network,price_date,avg_price
CARREFOUR,15.04.2026 20:00,5.59
MEGA IMAGE SRL,15.04.2026 20:00,5.79
PROFI,15.04.2026 20:00,7.39
SELGROS,15.04.2026 20:00,5.09
SUPECO,15.04.2026 20:00,7.39
CARREFOUR,17.04.2026 04:00,5.59
MEGA IMAGE SRL,17.04.2026 04:00,5.79
PROFI,17.04.2026 04:00,7.39
SELGROS,17.04.2026 04:00,5.09
SUPECO,17.04.2026 04:00,7.39
