network,avg_price,min_price,max_price,stores
KAUFLAND,7.49,7.49,7.49,169
CARREFOUR,7.74,7.34,8.09,234
MEGA IMAGE SRL,7.99,7.99,7.99,324
PROFI,8.3,7.39,8.69,117

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,7.7
KAUFLAND,13.04.2026 20:00,7.49
CARREFOUR,15.04.2026 04:00,7.62
KAUFLAND,15.04.2026 04:00,7.49
MEGA IMAGE SRL,15.04.2026 04:00,7.99
CARREFOUR,15.04.2026 20:00,7.75
KAUFLAND,15.04.2026 20:00,7.49
MEGA IMAGE SRL,15.04.2026 20:00,7.99
PROFI,15.04.2026 20:00,8.39
CARREFOUR,16.04.2026 04:00,7.53
KAUFLAND,16.04.2026 04:00,7.49
MEGA IMAGE SRL,16.04.2026 04:00,7.99
CARREFOUR,16.04.2026 20:00,7.54
KAUFLAND,16.04.2026 20:00,7.49
MEGA IMAGE SRL,16.04.2026 20:00,7.99
CARREFOUR,17.04.2026 04:00,7.74
KAUFLAND,17.04.2026 04:00,7.49
MEGA IMAGE SRL,17.04.2026 04:00,7.99
PROFI,17.04.2026 04:00,8.3
